\\AlterationOnSample\\Variant\\VariantInSample\\GenomicSourceClass\\;ID_117;GenomicSourceClass;;2018-11-21 14:02:02.026768;2018-11-21 14:02:02.026771;2018-11-21 14:02:02.026773;TEST_OSIRIS;None
\\AlterationOnSample\\Variant\\VariantInSample\\AllelicState\\;ID_118;AllelicState;;2018-11-21 14:02:02.026827;2018-11-21 14:02:02.026830;2018-11-21 14:02:02.026833;TEST_OSIRIS;None
\\AlterationOnSample\\Validation\\;ID_119;Validation;;2018-11-21 14:02:02.026906;2018-11-21 14:02:02.026910;2018-11-21 14:02:02.026912;TEST_OSIRIS;None
\\AlterationOnSample\\Validation\\Type\\;ID_120;Type;;2018-11-21 14:02:02.026953;2018-11-21 14:02:02.026956;2018-11-21 14:02:02.026958;TEST_OSIRIS;None
\\AlterationOnSample\\Validation\\Method\\;ID_121;Method;;2018-11-21 14:02:02.027008;2018-11-21 14:02:02.027011;2018-11-21 14:02:02.027013;TEST_OSIRIS;None
\\AlterationOnSample\\Validation\\Status\\;ID_122;Status;;2018-11-21 14:02:02.027063;2018-11-21 14:02:02.027066;2018-11-21 14:02:02.027068;TEST_OSIRIS;None
\\AlterationOnSample\\CNV\\;ID_123;CNV;;2018-11-21 14:02:02.027132;2018-11-21 14:02:02.027135;2018-11-21 14:02:02.027137;TEST_OSIRIS;None
\\AlterationOnSample\\CNV\\Alteration\\;ID_124;Alteration;;2018-11-21 14:02:02.027177;2018-11-21 14:02:02.027180;2018-11-21 14:02:02.027182;TEST_OSIRIS;None
\\AlterationOnSample\\CNV\\Alteration\\Chromosome\\;ID_125;Chromosome;;2018-11-21 14:02:02.027226;2018-11-21 14:02:02.027229;2018-11-21 14:02:02.027231;TEST_OSIRIS;None
\\AlterationOnSample\\CNV\\Alteration\\GenomicStart\\;ID_126;GenomicStart;;2018-11-21 14:02:02.027283;2018-11-21 14:02:02.027286;2018-11-21 14:02:02.027288;TEST_OSIRIS;None
\\AlterationOnSample\\CNV\\Alteration\\GenomicStop\\;ID_127;GenomicStop;;2018-11-21 14:02:02.027340;2018-11-21 14:02:02.027342;2018-11-21 14:02:02.027345;TEST_OSIRIS;None
\\AlterationOnSample\\CNV\\Alteration\\GenomeBuild\\;ID_128;GenomeBuild;;2018-11-21 14:02:02.027395;2018-11-21 14:02:02.027398;2018-11-21 14:02:02.027401;TEST_OSIRIS;None
\\AlterationOnSample\\CNV\\Alteration\\Cytoband\\;ID_129;Cytoband;;2018-11-21 14:02:02.027450;2018-11-21 14:02:02.027453;2018-11-21 14:02:02.027455;TEST_OSIRIS;None
\\AlterationOnSample\\CNV\\SegmentIntensity\\;ID_130;SegmentIntensity;;2018-11-21 14:02:02.027515;2018-11-21 14:02:02.027518;2018-11-21 14:02:02.027520;TEST_OSIRIS;None
\\AlterationOnSample\\CNV\\SegmentGenomicStatus\\;ID_131;SegmentGenomicStatus;;2018-11-21 14:02:02.027574;2018-11-21 14:02:02.027577;2018-11-21 14:02:02.027580;TEST_OSIRIS;None
\\AlterationOnSample\\CNV\\CopyNumber\\;ID_132;CopyNumber;;2018-11-21 14:02:02.027629;2018-11-21 14:02:02.027632;2018-11-21 14:02:02.027635;TEST_OSIRIS;None
